"","X","Borne.de.sortie","Date.de.sortie","Date.de.retour","Borne.de.retour"
"7256",7256,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 00:20:28","03/10/2016 00:29:19","161_MEDITERRANEO"
"7257",7257,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 01:10:57","03/10/2016 01:17:35","103_RUBEN DARIO"
"7258",7258,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:00:00","03/10/2016 09:20:51","125_C/ MASQUEFA"
"7259",7259,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:26:42","03/10/2016 09:44:23","036_PZA_LOS_FUEROS_CONDE_TRENOR"
"7260",7260,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 10:03:56","03/10/2016 10:19:52","106_AVDA. DE LOS NARANJOS"
"7261",7261,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 10:58:27","03/10/2016 11:07:06","113_ETS CAMINOS"
"7262",7262,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:47:43","03/10/2016 11:48:50","096_AVDA. BLASCO IBAÑEZ 6"
"7263",7263,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:50:34","03/10/2016 11:56:43","105_AVDA. DE LOS NARANJOS"
"7264",7264,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:50:51","03/10/2016 13:03:03","161_MEDITERRANEO"
"7265",7265,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 13:31:37","03/10/2016 13:36:36","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"7266",7266,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 13:45:24","03/10/2016 13:53:19","117_PRIMADO REIG"
"7267",7267,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:52:23","03/10/2016 15:00:11","90_AVDA. BLASCO IBAÑEZ "
"7268",7268,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:56:17","03/10/2016 15:09:37","47_AVDA. AUTOPISTA DEL SALER"
"7269",7269,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 19:22:32","03/10/2016 19:30:43","097_AVDA. BLASCO IBAÑEZ 7"
"7270",7270,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:10:11","03/10/2016 21:26:52","163_PASEO NEPTUNO"
"7271",7271,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:26:41","03/10/2016 21:38:54","017_ESTACION RENFE I"
"7272",7272,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 00:25:55","03/10/2016 00:33:12","118_C/ DR. GOMEZ FERRER"
"7273",7273,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 01:27:54","03/10/2016 01:37:26","099_AVDA. BLASCO IBAÑEZ 8"
"7274",7274,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 07:47:57","03/10/2016 07:56:14","89_AVDA. BLASCO IBAÑEZ"
"7275",7275,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 08:29:17","03/10/2016 08:43:49","005_PINTOR_LOPEZ_PZA_POETA_LLORENTE"
"7276",7276,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 08:59:26","03/10/2016 09:11:27","119_C/ JAIME ROIG"
"7277",7277,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:15:01","03/10/2016 09:21:07","105_AVDA. DE LOS NARANJOS"
"7278",7278,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:43:42","03/10/2016 09:51:10","90_AVDA. BLASCO IBAÑEZ "
"7279",7279,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:58:01","03/10/2016 10:05:26","90_AVDA. BLASCO IBAÑEZ "
"7280",7280,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 10:16:17","03/10/2016 10:44:33","085_AVDA_BLASCO IBAÑEZ 1"
"7281",7281,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:19:10","03/10/2016 11:25:56","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"7282",7282,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:38:29","03/10/2016 11:44:44","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"7283",7283,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:44:46","03/10/2016 11:53:14","90_AVDA. BLASCO IBAÑEZ "
"7284",7284,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:36:21","03/10/2016 13:12:50","007_PZA_DEL_MERCADO_TAULA_DE_CANVIS"
"7285",7285,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:45:21","03/10/2016 12:53:42","101_AVDA. BLASCO IBAÑEZ 10"
"7286",7286,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:13:35","03/10/2016 15:33:13","164_PAVIA 1"
"7287",7287,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:30:48","03/10/2016 15:35:47","150_DR. MANUEL CANDELA"
